Dystans (m),Wysokość (m)
16893.522447869134,1220.938598632812
16951.97754284446,1241.31201171875
17010.432637819784,1267.175659179688
17068.887732795112,1301.015869140625
17127.342827770437,1336.87939453125
17185.79792274576,1374.302124023438
17244.253017721087,1443.57421875
17302.708112696415,1579.836791992188
17361.16320767174,1612.09765625
17419.618302647064,1620.294555664062
17478.07339762239,1589.97314453125
17536.528492597718,1509.6064453125
17594.983587573042,1481.7734375
17653.438682548367,1458.437133789062
17711.893777523692,1455.494384765625
17770.34887249902,1444.461791992188
17828.803967474345,1436.759155273438
17887.25906244967,1428.682006835938
17945.714157424998,1423.970581054688
18004.169252400323,1419.374389648438
18062.624347375648,1426.621704101562
18121.079442350972,1445.858764648438
18179.5345373263,1496.434814453125
18237.989632301626,1632.250244140625
18296.44472727695,1654.66748046875
18354.899822252275,1683.999633789062
18413.354917227603,1676.840087890625
18471.81001220293,1649.381958007812
18530.265107178253,1515.14013671875
18588.720202153578,1448.006469726562
18647.175297128906,1416.38037109375
18705.63039210423,1388.42529296875
18764.085487079556,1390.942504882812
18822.540582054884,1388.22509765625
18880.99567703021,1385.136962890625
18939.450772005534,1372.309448242188
18997.90586698086,1380.08203125
19056.360961956187,1361.567016601562
19114.81605693151,1352.44384765625
19173.271151906836,1337.3330078125
19231.72624688216,1328.36962890625
19290.18134185749,1340.977783203125
19348.636436832814,1357.017822265625
19407.09153180814,1372.31884765625
19465.546626783464,1408.032836914062
19524.001721758792,1455.413330078125
19582.456816734117,1530.870483398438
19640.91191170944,1663.236572265625
19699.36700668477,1724.997436523438
19757.822101660095,1760.406005859375
19816.27719663542,1816.999877929688
19874.732291610744,1872.940185546875
19933.187386586073,1883.892822265625
19991.642481561397,1819.944946289062
20050.097576536722,1752.206420898438
20108.552671512047,1719.053466796875
20167.007766487375,1676.998413085938
20225.4628614627,1688.52685546875
20283.917956438025,1726.279296875
20342.37305141335,1754.21875
20400.828146388678,1777.343994140625
20459.283241364003,1807.401489257812
20517.738336339327,1857.674072265625
20576.193431314656,1939.154418945312
20634.64852628998,1968.65087890625
20693.103621265305,1979.818725585938
20751.55871624063,2007.23193359375
20810.01381121596,2047.142211914062
20868.468906191283,2088.210205078125
20926.924001166608,2150.2080078125
20985.379096141933,2221.221435546875
21043.83419111726,2238.050537109375
21102.289286092586,2224.9599609375
21160.74438106791,2225.0732421875
21219.199476043235,2206.93310546875
